id,farmId,parcelIndex,cropType,harvestDate,quantity,unit,qualityGrade
1,1,0,"Pepper","2023-11-26",20.75,"kg","Premium"
2,1,0,"Pepper","2024-03-03",20.58,"kg","Premium"
3,1,0,"Pepper","2023-01-06",19.23,"kg","Premium"
4,1,0,"Pepper","2023-12-28",19.57,"kg","Premium"
5,2,0,"Papaya","2024-08-04",9.63,"kg","Premium"
6,2,0,"Papaya","2023-11-20",10.16,"kg","Premium"
7,2,0,"Papaya","2022-12-22",8.83,"kg","Premium"
8,2,0,"Papaya","2022-01-15",8.83,"kg","Premium"
9,3,0,"Squash","2024-01-24",17.32,"kg","Premium"
10,3,0,"Squash","2024-07-28",18.84,"kg","Premium"
11,3,0,"Squash","2023-04-07",16.26,"kg","Premium"
12,4,0,"Papaya","2022-05-09",22.11,"kg","Premium"
13,4,0,"Papaya","2023-01-18",23.88,"kg","Premium"
14,4,0,"Papaya","2023-02-06",27.42,"kg","Premium"
15,4,0,"Papaya","2024-08-21",23.44,"kg","Premium"
16,5,0,"Cucumber","2024-05-22",28.25,"kg","Premium"
17,5,0,"Cucumber","2024-09-25",25.40,"kg","Premium"
18,6,0,"Palay (Rice)","2024-07-25",12.76,"kg","Premium"
19,6,0,"Palay (Rice)","2023-02-12",13.29,"kg","Premium"
20,6,0,"Palay (Rice)","2024-03-01",12.65,"kg","Premium"
21,6,0,"Palay (Rice)","2022-12-07",10.72,"kg","Premium"
22,7,0,"Banana","2022-08-24",29.50,"kg","Premium"
23,7,0,"Banana","2022-05-12",29.50,"kg","Premium"
24,7,0,"Banana","2023-12-08",34.52,"kg","Premium"
25,7,0,"Banana","2023-09-23",34.22,"kg","Premium"
26,8,0,"Okra","2022-10-28",12.25,"kg","Premium"
27,8,0,"Okra","2023-04-24",14.33,"kg","Premium"
28,8,0,"Okra","2024-10-13",13.35,"kg","Premium"
29,8,0,"Okra","2024-07-12",13.60,"kg","Premium"
30,9,0,"Eggplant","2024-09-13",18.80,"kg","Premium"
31,9,0,"Eggplant","2022-10-09",16.20,"kg","Premium"
32,9,0,"Eggplant","2022-05-03",16.20,"kg","Premium"
33,9,0,"Eggplant","2024-01-26",19.12,"kg","Premium"
34,10,0,"Okra","2024-06-22",28.13,"kg","Premium"
35,10,0,"Okra","2024-12-19",28.63,"kg","Premium"
36,10,0,"Okra","2024-11-24",19.00,"kg","Standard"
37,10,0,"Okra","2023-08-04",30.14,"kg","Premium"
38,11,0,"Corn","2022-02-25",22.62,"kg","Premium"
39,11,0,"Corn","2022-12-01",22.62,"kg","Premium"
40,12,0,"Papaya","2022-06-09",11.38,"kg","Premium"
41,12,0,"Papaya","2022-09-07",11.38,"kg","Premium"
